Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,36.71
Afghanistan,AFG,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,..,..,28.45
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.18922812838034,3.911603419423,-1.9347782488959
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18353881129.5246,19291104007.6135,19807067268.1084
Albania,ALB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,52,53.39,..
Albania,ALB,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,25.65,26.72,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.07130129479023,2.17369228814495,-3.31123944391327
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15147020535.3869,15286612572.6895,14799615097.1008
Algeria,DZA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..
Algeria,DZA,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,..,..,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.20000000049063,0.799999999582639,-5.48099193515836
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,175414987760.927,171157803367.473,145163902228.168
American Samoa,ASM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..
American Samoa,ASM,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,..,..,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.33889816360602,-1.45395799676898,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,641000000,638000000,..
Andorra,AND,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..
Andorra,AND,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,..,..,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.58876549046354,2.01554763848308,-11.9560584192697
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3218316013.22626,3155065487.51819,..
Angola,AGO,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..
Angola,AGO,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,..,..,..
