Country Name,Country Code,Series,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Afghanistan,AFG,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Afghanistan,AFG,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Afghanistan,AFG,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Afghanistan,AFG,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,10334090,10699525,..
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Albania,ALB,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Albania,ALB,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Albania,ALB,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Albania,ALB,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1318022,1319734,..
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Algeria,DZA,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Algeria,DZA,Internet users (per 100 people),IT.NET.USER.P2,59.57968476,..,..
Algeria,DZA,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Algeria,DZA,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Algeria,DZA,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,12173459,12303850,..
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
American Samoa,ASM,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
American Samoa,ASM,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
American Samoa,ASM,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
American Samoa,ASM,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
American Samoa,ASM,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
American Samoa,ASM,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.24672,3.15162,..
Andorra,AND,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,37.12919,36.60696,..
Andorra,AND,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Andorra,AND,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Andorra,AND,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Andorra,AND,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Andorra,AND,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Angola,AGO,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Angola,AGO,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Angola,AGO,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
