Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Afghanistan,AFG,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Africa Eastern and Southern,AFE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Africa Western and Central,AFW,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Albania,ALB,0.16873735,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Algeria,DZA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,American Samoa,ASM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Andorra,AND,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Angola,AGO,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Antigua and Barbuda,ATG,0.02258851,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Arab World,ARB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Argentina,ARG,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Armenia,ARM,0.02924202,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Aruba,ABW,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Australia,AUS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Austria,AUT,0.7216593,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Azerbaijan,AZE,0.18321492,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Bahamas, The",BHS,0.08080183,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Bahrain,BHR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Bangladesh,BGD,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Barbados,BRB,0.18790331,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Belarus,BLR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Belgium,BEL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Belize,BLZ,0.01065514,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Benin,BEN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Bermuda,BMU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Bhutan,BTN,0.80290633,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Bolivia,BOL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Bosnia and Herzegovina,BIH,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Botswana,BWA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Brazil,BRA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,British Virgin Islands,VGB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Brunei Darussalam,BRN,0.0958964,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Bulgaria,BGR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Burkina Faso,BFA,0.3985852,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Burundi,BDI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Cabo Verde,CPV,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Cambodia,KHM,0.58237332,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Cameroon,CMR,0.42335632,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Canada,CAN,0.62012422,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Caribbean small states,CSS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Cayman Islands,CYM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Central African Republic,CAF,0.20125592,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Central Europe and the Baltics,CEB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Chad,TCD,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Channel Islands,CHI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Chile,CHL,0.24543206,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,China,CHN,0.65404463,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Colombia,COL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Comoros,COM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Congo, Dem. Rep.",COD,0.06168046,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Congo, Rep.",COG,0.07812622,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Costa Rica,CRI,0.25118107,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Cote d'Ivoire,CIV,0.57916254,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Croatia,HRV,0.23350686,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Cuba,CUB,0.30113074,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Curacao,CUW,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Cyprus,CYP,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Czech Republic,CZE,0.11349273,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Denmark,DNK,0.55228972,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Djibouti,DJI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Dominica,DMA,0.24098283,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Dominican Republic,DOM,0.25978184,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Early-demographic dividend,EAR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,East Asia & Pacific,EAS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,East Asia & Pacific (excluding high income),EAP,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Ecuador,ECU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Egypt, Arab Rep.",EGY,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,El Salvador,SLV,0.32765877,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Equatorial Guinea,GNQ,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Eritrea,ERI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Estonia,EST,0.21732531,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Eswatini,SWZ,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Ethiopia,ETH,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Euro area,EMU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Europe & Central Asia,ECS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,European Union,EUU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Faroe Islands,FRO,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Fiji,FJI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Finland,FIN,0.46079153,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Fragile and conflict affected situations,FCS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,France,FRA,0.50344557,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,French Polynesia,PYF,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Gabon,GAB,0.35308722,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Gambia, The",GMB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Georgia,GEO,0.0702749,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Germany,DEU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Ghana,GHA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Gibraltar,GIB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Greece,GRC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Greenland,GRL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Grenada,GRD,0.16931647,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Guam,GUM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Guatemala,GTM,0.09651408,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Guinea,GIN,..,..,..
