Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.486,64.833,..
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,18078879,18512030,18952076
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,19093043,19529727,19976265
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37171922,38041757,38928341
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,66.026,66.388,..
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.047,63.382,..
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.648988039777,64.0051974732229,..
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,324003969,332485163,341090736
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,319086162,327561109,336152563
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,643090131,660046272,677243299
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,65.8329443519471,66.2021159937113,..
Africa Eastern and Southern,AFE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.4703543086522,61.8131545643106,..
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.7623467867763,58.1157227231324,..
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,216376208,222127882,227985427
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,218853173,224783716,230818049
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,435229381,446911598,458803476
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,58.8592389821574,59.2310724966126,..
Africa Western and Central,AFW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,56.6749644920021,57.0121625378237,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.458,78.573,..
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1406333,1401011,1393417
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1460043,1453180,1444326
Albania,ALB,"Population, total",SP.POP.TOTL,2866376,2854191,2837743
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.167,80.201,..
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.816,77.002,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.693,76.88,..
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,20896422,21303388,21697235
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,21331993,21749666,22153808
Algeria,DZA,"Population, total",SP.POP.TOTL,42228415,43053054,43851043
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.938,78.133,..
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.494,75.676,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,..,..,..
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,55461,55312,55197
American Samoa,ASM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,..,..
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,..,..,..
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,77008,77146,77265
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,..,..
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.782,61.147,..
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,15568328,16080520,16605398
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,15241459,15744779,16260870
Angola,AGO,"Population, total",SP.POP.TOTL,30809787,31825299,32866268
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.666,64.039,..
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.064,58.416,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.885,77.016,..
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,49863,50264,50659
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,46419,46851,47269
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96282,97115,97928
Antigua and Barbuda,ATG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.983,78.104,..
Antigua and Barbuda,ATG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.721,75.858,..
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8070751075422,71.9897093670282,..
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,202328788,206119753,210055400
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,217523201,221750520,226025328
Arab World,ARB,"Population, total",SP.POP.TOTL,419851989,427870273,436080728
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.6636751380629,73.8323144976843,..
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.1159280909902,70.3081838301709,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.52,76.667,..
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22797803,23020216,23239321
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,21696699,21918496,22137442
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502,44938712,45376763
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.863,79.995,..
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.082,73.242,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.945,75.087,..
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1563141,1566459,1569487
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1388600,1391269,1393747
Armenia,ARM,"Population, total",SP.POP.TOTL,2951741,2957728,2963234
Armenia,ARM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.354,78.516,..
Armenia,ARM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.215,71.327,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.152,76.293,..
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,55602,55867,56124
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50244,50443,50642
Aruba,ABW,"Population, total",SP.POP.TOTL,105846,106310,106766
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.507,78.641,..
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.628,73.768,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.7487804878049,82.9,..
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,12541215,12733486,12895213
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,12441473,12632259,12791828
