iso_code,location,gdp_percap,inflat_rate_yearly,unempl_rate,labor_force_rate,economic_year
ABW,ARUBA,,,,,2020
AFG,AFGHANISTAN,508.81,5.5,11.73,47.06,2020
AGO,ANGOLA,1895.77,15.1,7.7,75.45,2020
ALB,ALBANIA,5215.28,-0.96,11.7,59.72,2020
AND,ANDORRA,,1.06,,,2020
ARE,UNITED ARAB EMIRATES,,,5,80.95,2020
ARG,ARGENTINA,8441.92,39.84,11.67,55.97,2020
ARM,ARMENIA,4267.45,1.88,20.21,50.11,2020
ASM,AMERICAN SAMOA,,,,,2020
ATG,ANTIGUA AND BARBUDA,14450,1.33,,,2020
AUS,AUSTRALIA,51812.15,1.97,6.61,64.89,2020
AUT,AUSTRIA,48327.63,1.24,5.77,59.91,2020
AZE,AZERBAIJAN,4214.31,-7.57,6.27,63.13,2020
BDI,BURUNDI,274.01,11.9,0.8,78.87,2020
BEL,BELGIUM,44594.38,1.07,6.01,53.34,2020
BEN,BENIN,1291.04,2.88,2.54,69.98,2020
BFA,BURKINA FASO,830.93,4.59,4.96,65.38,2020
BGD,BANGLADESH,1968.79,5.51,5.3,55.73,2020
BGR,BULGARIA,9975.78,3.32,5.71,54.8,2020
BHR,BAHRAIN,,-4.69,4.09,72.64,2020
BHS,"BAHAMAS, THE",28607.9,-1.04,14.41,71.74,2020
BIH,BOSNIA AND HERZEGOVINA,6031.56,0.62,16.85,46.27,2020
BLR,BELARUS,6411.23,10.1,5.28,63.12,2020
BLZ,BELIZE,4435.62,3.49,7.82,61.35,2020
BMU,BERMUDA,,,,,2020
BOL,BOLIVIA,3143.05,-2.67,5.61,66.66,2020
BRA,BRAZIL,6796.84,4.81,13.67,59.24,2020
BRB,BARBADOS,15191.16,1.71,12.79,61.65,2020
BRN,BRUNEI DARUSSALAM,27466.34,-10.85,8.37,63.92,2020
BTN,BHUTAN,3122.38,7.47,3.74,65.29,2020
BWA,BOTSWANA,6710.99,-0.61,17.7,69.39,2020
CAF,CENTRAL AFRICAN REPUBLIC,476.85,1.9,4.33,70.51,2020
CAN,CANADA,43258.18,0.78,9.48,63.91,2020
CHE,SWITZERLAND,87097.04,-0.5,4.94,67.52,2020
CHI,CHANNEL ISLANDS,,,8.16,57.79,2020
CHL,CHILE,13231.7,8.36,11.51,57.39,2020
CHN,CHINA,10500.4,0.67,5,66.82,2020
CIV,COTE D'IVOIRE,2325.72,1.12,3.5,52.81,2020
CMR,CAMEROON,1499.37,-0.49,3.62,74.67,2020
COD,"CONGO, DEM. REP.",556.81,10.3,4.55,61.38,2020
COG,"CONGO, REP.",1972.55,-8.49,10.27,66.35,2020
COL,COLOMBIA,5332.77,1.43,15.44,62.64,2020
COM,COMOROS,1402.6,-2.26,8.43,44.29,2020
CPV,CABO VERDE,3064.27,-0.86,13.41,57.04,2020
CRI,COSTA RICA,12076.81,0.36,17.08,60.62,2020
CUB,CUBA,,,3.87,50.3,2020
CUW,CURACAO,,,,,2020
CYM,CAYMAN ISLANDS,,,,,2020
CYP,CYPRUS,26623.8,-1.46,7.21,63.47,2020
CZE,CZECH REPUBLIC,22932.22,4.4,2.94,59.67,2020
DEU,GERMANY,46208.43,1.6,4.31,60.57,2020
DJI,DJIBOUTI,3425.5,1.29,11.57,58.72,2020
DMA,DOMINICA,6526.79,-1.82,,,2020
DNK,DENMARK,61063.32,2.61,5.66,61.91,2020
DOM,DOMINICAN REPUBLIC,7268.2,4.72,8.9,61.73,2020
DZA,ALGERIA,3310.39,-4.69,12.83,40.3,2020
ECU,ECUADOR,5600.39,-0.92,6.23,62.6,2020
EGY,"EGYPT, ARAB REP.",3547.87,5.59,10.45,43,2020
ERI,ERITREA,,,7.44,74.03,2020
ESP,SPAIN,27063.19,1.1,15.67,56.25,2020
EST,ESTONIA,23027.03,-0.29,6.46,62.9,2020
ETH,ETHIOPIA,936.34,18.24,2.79,76.44,2020
FIN,FINLAND,48773.28,1.27,7.83,59.43,2020
FJI,FIJI,4881.53,-1.26,4.79,56.14,2020
FRA,FRANCE,39030.36,2.52,8.62,54.12,2020
FRO,FAROE ISLANDS,,,,,2020
FSM,"MICRONESIA, FED. STS.",,,,,2020
GAB,GABON,7005.88,-8,20.47,52.04,2020
GBR,UNITED KINGDOM,40284.64,5.57,4.34,62.78,2020
GEO,GEORGIA,4278.86,6.9,12.05,63.87,2020
GHA,GHANA,2328.53,14.94,4.53,66.21,2020
GIB,GIBRALTAR,,,,,2020
GIN,GUINEA,1194.04,12.96,4.35,59.58,2020
GMB,"GAMBIA, THE",787.01,7.15,9.64,57.22,2020
GNB,GUINEA-BISSAU,727.52,0.1,3.16,69.35,2020
GNQ,EQUATORIAL GUINEA,7143.24,-9.33,9.15,60.8,2020
GRC,GREECE,17676.19,-1.46,16.85,51.35,2020
GRD,GRENADA,9680.18,1.29,,,2020
GRL,GREENLAND,,,,,2020
GTM,GUATEMALA,4603.34,2.65,4.65,57.05,2020
GUM,GUAM,,,7.51,62.51,2020
GUY,GUYANA,6955.94,-26.3,15.82,51.34,2020
HKG,"HONG KONG SAR, CHINA",46323.86,0.64,5.8,58.28,2020
HND,HONDURAS,2405.73,4.63,9.39,59.97,2020
HRV,CROATIA,13828.47,0.41,7.2,51.33,2020
HTI,HAITI,1176.76,15.09,14.5,64.58,2020
HUN,HUNGARY,15899.15,5.7,4.35,56.71,2020
IDN,INDONESIA,3869.59,-0.46,4.11,66.45,2020
IMN,ISLE OF MAN,,,,,2020
IND,INDIA,1900.71,4.57,7.11,46.29,2020
IRL,IRELAND,85267.76,-1.21,5.92,61.38,2020
IRN,"IRAN, ISLAMIC REP.",2282.55,33.2,10.96,42.42,2020
IRQ,IRAQ,4157.48,-15.42,13.74,41.34,2020
ISL,ICELAND,59270.18,3.21,5.01,73.09,2020
