location,date,year,month,excess_mortality
ALBANIA,1/31/2020,2020,1,-86.04444098
ALBANIA,2/29/2020,2020,2,19.63149867
ALBANIA,3/31/2020,2020,3,8.980366413
ALBANIA,4/30/2020,2020,4,24.36533523
ALBANIA,5/31/2020,2020,5,41.07299367
ALBANIA,6/30/2020,2020,6,57.4325759
ALBANIA,7/31/2020,2020,7,144.382015
ALBANIA,8/31/2020,2020,8,271.9867564
ALBANIA,9/30/2020,2020,9,161.4377497
ALBANIA,10/31/2020,2020,10,261.7533156
ALBANIA,11/30/2020,2020,11,732.143516
ALBANIA,12/31/2020,2021,12,386.0165253
ALBANIA,1/31/2021,2021,1,188.9357709
ALBANIA,2/28/2021,2021,2,618.3225929
ALBANIA,3/31/2021,2021,3,339.3046969
ALBANIA,4/30/2021,2021,4,233.9072182
ALBANIA,5/31/2021,2021,5,61.60949051
ALBANIA,6/30/2021,2021,6,-36.54800284
ALBANIA,7/31/2021,2021,7,19.77072916
ALBANIA,8/31/2021,2021,8,126.1428212
ALBANIA,9/30/2021,2021,9,227.572231
ALBANIA,10/31/2021,2021,10,
ALBANIA,11/30/2021,2020,11,
ANDORRA,1/31/2020,2020,1,-7.756547819
ANDORRA,2/29/2020,2020,2,116.3482173
ANDORRA,3/31/2020,2020,3,98.24960571
ANDORRA,4/30/2020,2020,4,460.2218373
ANDORRA,5/31/2020,2020,5,186.1571477
ANDORRA,6/30/2020,2020,6,2.58551594
ANDORRA,7/31/2020,2020,7,20.68412752
ANDORRA,8/31/2020,2020,8,-80.15099413
ANDORRA,9/30/2020,2020,9,23.26964346
ANDORRA,10/31/2020,2020,10,305.0908809
ANDORRA,11/30/2020,2020,11,-93.07857383
ANDORRA,12/31/2020,2021,12,126.690281
ANDORRA,1/31/2021,2021,1,
ANDORRA,2/28/2021,2021,2,
ANDORRA,3/31/2021,2021,3,
ANDORRA,4/30/2021,2021,4,
ANDORRA,5/31/2021,2021,5,
ANDORRA,6/30/2021,2021,6,
ANDORRA,7/31/2021,2021,7,
ANDORRA,8/31/2021,2021,8,
ANDORRA,9/30/2021,2021,9,
ANDORRA,10/31/2021,2021,10,
ANDORRA,11/30/2021,2020,11,
ANTIGUA AND BARBUDA,1/31/2020,2020,1,31.39940037
ANTIGUA AND BARBUDA,2/29/2020,2020,2,-86.09513005
ANTIGUA AND BARBUDA,3/31/2020,2020,3,1.012883883
ANTIGUA AND BARBUDA,4/30/2020,2020,4,-3.038651649
ANTIGUA AND BARBUDA,5/31/2020,2020,5,9.115954947
ANTIGUA AND BARBUDA,6/30/2020,2020,6,-92.17243335
ANTIGUA AND BARBUDA,7/31/2020,2020,7,-11.14172271
ANTIGUA AND BARBUDA,8/31/2020,2020,8,-152.9454663
ANTIGUA AND BARBUDA,9/30/2020,2020,9,-75.96629122
ANTIGUA AND BARBUDA,10/31/2020,2020,10,-65.83745239
ANTIGUA AND BARBUDA,11/30/2020,2020,11,-37.47670367
ANTIGUA AND BARBUDA,12/31/2020,2021,12,-102.3012722
ANTIGUA AND BARBUDA,1/31/2021,2021,1,
ANTIGUA AND BARBUDA,2/28/2021,2021,2,
ANTIGUA AND BARBUDA,3/31/2021,2021,3,
ANTIGUA AND BARBUDA,4/30/2021,2021,4,
ANTIGUA AND BARBUDA,5/31/2021,2021,5,
ANTIGUA AND BARBUDA,6/30/2021,2021,6,
ANTIGUA AND BARBUDA,7/31/2021,2021,7,
ANTIGUA AND BARBUDA,8/31/2021,2021,8,
ANTIGUA AND BARBUDA,9/30/2021,2021,9,
ANTIGUA AND BARBUDA,10/31/2021,2021,10,
ANTIGUA AND BARBUDA,11/30/2021,2020,11,
ARGENTINA,1/31/2020,2020,1,-16.95616808
ARGENTINA,2/29/2020,2020,2,10.43507098
ARGENTINA,3/31/2020,2020,3,-6.001426616
ARGENTINA,4/30/2020,2020,4,-19.81983748
ARGENTINA,5/31/2020,2020,5,-38.37448564
ARGENTINA,6/30/2020,2020,6,-91.84134228
ARGENTINA,7/31/2020,2020,7,36.68610475
ARGENTINA,8/31/2020,2020,8,115.579539
ARGENTINA,9/30/2020,2020,9,237.0420988
ARGENTINA,10/31/2020,2020,10,319.0667122
ARGENTINA,11/30/2020,2020,11,222.2106594
ARGENTINA,12/31/2020,2021,12,151.7722857
ARGENTINA,1/31/2021,2021,1,
ARGENTINA,2/28/2021,2021,2,
ARGENTINA,3/31/2021,2021,3,
ARGENTINA,4/30/2021,2021,4,
ARGENTINA,5/31/2021,2021,5,
ARGENTINA,6/30/2021,2021,6,
ARGENTINA,7/31/2021,2021,7,
ARGENTINA,8/31/2021,2021,8,
ARGENTINA,9/30/2021,2021,9,
ARGENTINA,10/31/2021,2021,10,
ARGENTINA,11/30/2021,2020,11,
ARMENIA,1/31/2020,2020,1,-6.367649913
ARMENIA,2/29/2020,2020,2,65.86643164
ARMENIA,3/31/2020,2020,3,-6.704562606
ARMENIA,4/30/2020,2020,4,26.04335123
ARMENIA,5/31/2020,2020,5,-3.26805313
ARMENIA,6/30/2020,2020,6,314.171087
ARMENIA,7/31/2020,2020,7,238.9047912
ARMENIA,8/31/2020,2020,8,55.42213813
ARMENIA,9/30/2020,2020,9,125.3652134
ARMENIA,10/31/2020,2020,10,558.7697027
ARMENIA,11/30/2020,2020,11,1308.872124
ARMENIA,12/31/2020,2021,12,700.138269
ARMENIA,1/31/2021,2021,1,169.5007762
ARMENIA,2/28/2021,2021,2,60.47582854
ARMENIA,3/31/2021,2021,3,177.9235936
ARMENIA,4/30/2021,2021,4,432.0231472
ARMENIA,5/31/2021,2021,5,175.2956746
ARMENIA,6/30/2021,2021,6,119.0986373
ARMENIA,7/31/2021,2021,7,79.8819997
ARMENIA,8/31/2021,2021,8,100.9053518
ARMENIA,9/30/2021,2021,9,299.5490761
ARMENIA,10/31/2021,2021,10,501.4945447
ARMENIA,11/30/2021,2020,11,
ARUBA,1/31/2020,2020,1,105.4153645
ARUBA,2/29/2020,2020,2,-13.99318998
ARUBA,3/31/2020,2020,3,150.1935725
ARUBA,4/30/2020,2020,4,6.530155324
ARUBA,5/31/2020,2020,5,-140.8647791
ARUBA,6/30/2020,2020,6,75.5632259
ARUBA,7/31/2020,2020,7,-69.9659499
ARUBA,8/31/2020,2020,8,71.83170857
