iso_code,location,health_year,physician,Domestic_Health_Exp_GDP,Domestic_Health_Exp_Pcapita,Curr_Health_Exp_GDP,Community_Health_Workers,Curr_Health_Exp_Pcapita,Hospital_Beds
ABW,ARUBA,2018,..,..,..,..,..,..,..
AFE,AFRICA EASTERN AND SOUTHERN,2018,..,2.660051775,41.7305148,5.925881793,..,94.24283821,..
AFG,AFGHANISTAN,2018,..,0.48597482,2.57800722,9.39572716,..,49.84260941,..
AFW,AFRICA WESTERN AND CENTRAL,2018,..,0.836664344,13.67221916,4.004789858,..,67.38381788,..
AGO,ANGOLA,2018,..,1.06878364,36.73722076,2.54900527,..,87.61676788,..
ALB,ALBANIA,2018,..,2.84153938,148.4365692,5.26271439,..,274.914093,..
AND,ANDORRA,2018,..,4.55864906,1916.984497,6.71033096,..,2821.80127,..
ARB,ARAB WORLD,2018,..,2.988869832,223.5253662,5.230997825,..,392.5674775,..
ARE,UNITED ARAB EMIRATES,2018,2.5278,2.17965603,937.3599854,4.22590351,..,1817.347656,..
ARG,ARGENTINA,2018,..,5.91017103,692.6174316,9.62454033,..,1127.907227,..
ARM,ARMENIA,2018,..,1.23714364,52.11013412,10.02538967,..,422.2826843,..
ASM,AMERICAN SAMOA,2018,..,..,..,..,..,..,..
ATG,ANTIGUA AND BARBUDA,2018,..,2.90411592,485.8211975,5.23155928,..,875.1725464,..
AUS,AUSTRALIA,2018,..,6.41243744,3747.028809,9.28459835,..,5425.340332,..
AUT,AUSTRIA,2018,..,7.5464735,3892.831299,10.32559872,..,5326.437012,7.27
AZE,AZERBAIJAN,2018,..,0.9321152,43.97441864,3.51373243,..,165.7674408,..
BDI,BURUNDI,2018,..,1.90243125,5.90400934,7.74165535,..,24.02547073,..
BEL,BELGIUM,2018,..,7.8199439,3723.067627,10.31865311,..,4912.700684,5.62
BEN,BENIN,2018,7.91E-02,0.49050966,6.09126854,2.49141979,..,30.9390583,..
BFA,BURKINA FASO,2018,..,2.3925395,17.10899734,5.62852383,..,40.24945068,..
BGD,BANGLADESH,2018,0.5809,0.3977879,7.11578894,2.3428061,..,41.90905762,..
BGR,BULGARIA,2018,..,4.23436928,397.6374817,7.34667873,..,689.9053955,..
BHR,BAHRAIN,2018,..,2.43187261,584.8989258,4.13356352,..,994.1790161,..
BHS,"BAHAMAS, THE",2018,..,3.13811374,1011.082031,6.24896193,..,2013.379272,..
BIH,BOSNIA AND HERZEGOVINA,2018,..,6.21318245,376.8726807,8.895051,..,539.5466309,..
BLR,BELARUS,2018,..,3.97420192,250.8408051,5.64426613,..,356.2507324,..
BLZ,BELIZE,2018,..,3.90398026,196.1819611,5.69105911,..,285.9858398,..
BMU,BERMUDA,2018,..,..,..,..,..,..,..
BOL,BOLIVIA,2018,..,4.48434305,159.1311646,6.30102587,..,223.5978851,..
BRA,BRAZIL,2018,2.1643,3.96481943,353.5392151,9.51438713,..,848.388855,..
BRB,BARBADOS,2018,..,2.93843102,521.4302979,6.56259155,..,1164.544556,..
BRN,BRUNEI DARUSSALAM,2018,..,2.29566693,726.069397,2.41291642,..,763.1528931,..
BTN,BHUTAN,2018,0.4242,2.43216681,81.72798157,3.0574255,..,102.7385178,..
BWA,BOTSWANA,2018,..,4.53097391,374.1790772,5.84825039,..,482.9630737,..
CAF,CENTRAL AFRICAN REPUBLIC,2018,..,0.68838823,3.36062503,10.99253082,..,53.66416168,..
CAN,CANADA,2018,..,7.93011045,3670.843262,10.79046917,..,4994.902344,2.55
CEB,CENTRAL EUROPE AND THE BALTICS,2018,..,4.898004106,781.2751145,6.610849468,..,1054.649348,6.422667075
CHE,SWITZERLAND,2018,..,3.70784402,3081.69751,11.87620926,..,9870.664063,4.63
CHI,CHANNEL ISLANDS,2018,..,..,..,..,..,..,..
CHL,CHILE,2018,2.5912,4.64688587,740.006958,9.14051342,..,1455.60791,2.06
CHN,CHINA,2018,..,3.018888,282.6797791,5.35107994,..,501.0593872,..
CIV,COTE D'IVOIRE,2018,..,1.20726717,20.71104622,4.19003773,..,71.88140869,..
CMR,CAMEROON,2018,..,0.21037169,3.22656012,3.52989626,..,54.13952637,..
COD,"CONGO, DEM. REP.",2018,..,0.49770063,2.79114175,3.30075741,..,18.51088905,..
COG,"CONGO, REP.",2018,..,0.78597683,17.46465302,2.13848233,..,47.5177536,..
COL,COLOMBIA,2018,2.1848,5.47120094,367.4957886,7.63980007,..,513.1586914,1.71
COM,COMOROS,2018,..,0.42495197,6.04044008,4.58884811,..,65.22776031,..
CPV,CABO VERDE,2018,..,3.22480845,117.2347031,5.35998297,..,194.8568726,..
CRI,COSTA RICA,2018,2.8939,5.47541523,658.5482178,7.56336021,..,909.6730957,1.11
CSS,CARIBBEAN SMALL STATES,2018,..,3.486185478,339.3172662,6.373303379,..,621.2434251,..
CUB,CUBA,2018,8.4218,9.94623375,877.4390259,11.18745422,..,986.9373169,..
CUW,CURACAO,2018,..,..,..,..,..,..,..
CYM,CAYMAN ISLANDS,2018,..,..,..,..,..,..,..
CYP,CYPRUS,2018,..,2.89758873,836.5236816,6.76976299,..,1954.40686,..
