location,iso_code,population_year,Death_Rate_per_1000,Population__total,Population__male,Population__female,Ages_over_64,Ages_15_to_64,Ages_00_to_14
AFGHANISTAN,AFG,2019,6.285,38041757,19529727,18512030,995094,20889465,16157198
AFGHANISTAN,AFG,2020,..,38928341,19976265,18952076,1031239,21616257,16280845
ALBANIA,ALB,2019,8.082,2854191,1453180,1401011,405370,1952204,496617
ALBANIA,ALB,2020,..,2837743,1444326,1393417,417278,1931355,489109
ALGERIA,DZA,2019,4.716,43053054,21749666,21303388,2821171,27079012,13152871
ALGERIA,DZA,2020,..,43851043,22153808,21697235,2956844,27395306,13498893
AMERICAN SAMOA,ASM,2019,..,55312,..,..,..,..,..
AMERICAN SAMOA,ASM,2020,..,55197,..,..,..,..,..
ANDORRA,AND,2019,3.9,77146,..,..,..,..,..
ANDORRA,AND,2020,..,77265,..,..,..,..,..
ANGOLA,AGO,2019,7.981,31825299,15744779,16080520,699947,16287753,14837599
ANGOLA,AGO,2020,..,32866268,16260870,16605398,720252,16897592,15248424
ANTIGUA AND BARBUDA,ATG,2019,6.422,97115,46851,50264,8794,67000,21321
ANTIGUA AND BARBUDA,ATG,2020,..,97928,47269,50659,9139,67391,21398
ARGENTINA,ARG,2019,7.604,44938712,21918496,23020216,5052508,28833291,11052913
ARGENTINA,ARG,2020,..,45376763,22137442,23239321,5157755,29131055,11087953
ARMENIA,ARM,2019,9.835,2957728,1391269,1566459,339656,2003872,614200
ARMENIA,ARM,2020,..,2963234,1393747,1569487,349747,1996176,617311
ARUBA,ABW,2019,9.205,106310,50443,55867,14945,72632,18732
ARUBA,ABW,2020,..,106766,50642,56124,15594,72614,18558
AUSTRALIA,AUS,2019,6.7,25365745,12632259,12733486,4038531,16437853,4889361
AUSTRALIA,AUS,2020,..,25687041,12791828,12895213,4164655,16566733,4955653
AUSTRIA,AUT,2019,9.4,8879920,4372358,4507562,1693899,5910700,1275321
