location,iso_code,Unemployment_percent,Vulnerable_employ_percent,unemploy_year
AFGHANISTAN,AFG,8.840999603,66.00399971,2016
ALBANIA,ALB,15.22000027,56.99700165,2016
ALGERIA,DZA,10.19999981,27.8259995,2016
AMERICAN SAMOA,ASM,..,..,2016
ANDORRA,AND,..,..,2016
ANGOLA,AGO,7.723999977,66.54799843,2016
ANTIGUA AND BARBUDA,ATG,..,..,2016
ARAB WORLD,ARB,10.01985079,26.32260431,2016
ARGENTINA,ARG,8.696000099,21.11299914,2016
ARMENIA,ARM,18.04000092,40.32800007,2016
ARUBA,ABW,..,..,2016
AUSTRALIA,AUS,5.71999979,10.89100011,2016
AUSTRIA,AUT,6.010000229,8.189999819,2016
AZERBAIJAN,AZE,5,55.06699944,2016
"BAHAMAS, THE",BHS,12.69999981,14.5139997,2016
BAHRAIN,BHR,1.215000033,1.820000023,2016
BANGLADESH,BGD,4.349999905,57.65000057,2016
BARBADOS,BRB,9.720000267,15.92800002,2016
BELARUS,BLR,0.488000005,2.551999908,2016
BELGIUM,BEL,7.829999924,10.70700002,2016
BELIZE,BLZ,7.909999847,26.26899958,2016
BENIN,BEN,2.54399991,87.85399723,2016
BERMUDA,BMU,..,..,2016
BHUTAN,BTN,2.441999912,71.39099884,2016
BOLIVIA,BOL,3.059999943,31.29800034,2016
BOSNIA AND HERZEGOVINA,BIH,25.05999947,20.85599947,2016
BOTSWANA,BWA,17.11700058,14.97500014,2016
BRAZIL,BRA,11.60999966,27.48899961,2016
BRITISH VIRGIN ISLANDS,VGB,..,..,2016
BRUNEI DARUSSALAM,BRN,6.934999943,5.135999978,2016
BULGARIA,BGR,7.570000172,8.195000231,2016
BURKINA FASO,BFA,6.390999794,87.23900223,2016
BURUNDI,BDI,1.590999961,92.3450036,2016
CABO VERDE,CPV,10.32499981,37.64100075,2016
CAMBODIA,KHM,0.197999999,51.12999916,2016
CAMEROON,CMR,4.261000156,71.64000213,2016
CANADA,CAN,7,10.74399969,2016
CAYMAN ISLANDS,CYM,..,..,2016
CENTRAL AFRICAN REPUBLIC,CAF,6.159999847,67.34999728,2016
CHAD,TCD,5.784999847,91.50099945,2016
CHANNEL ISLANDS,CHI,9.378000259,10.00300038,2016
CHILE,CHL,6.739999771,23.7530005,2016
CHINA,CHN,4.649000168,33.02200031,2016
COLOMBIA,COL,8.350000381,47.07100129,2016
COMOROS,COM,4.347000122,63.86999893,2016
"CONGO, DEM. REP.",COD,3.691999912,53.53199959,2016
"CONGO, REP.",COG,10.42099953,74.89099884,2016
COSTA RICA,CRI,8.979999542,14.01400009,2016
COTE D'IVOIRE,CIV,2.599999905,73.35799789,2016
CROATIA,HRV,13.10000038,8.728999853,2016
CUBA,CUB,2.489000082,10.24700034,2016
CURACAO,CUW,..,..,2016
CYPRUS,CYP,12.94999981,12.59099984,2016
CZECH REPUBLIC,CZE,3.950000048,14.03299975,2016
DENMARK,DNK,6.179999828,5.653000057,2016
DJIBOUTI,DJI,5.836999893,39.18599987,2016
DOMINICA,DMA,..,..,2016
DOMINICAN REPUBLIC,DOM,5.489999771,41.13099968,2016
EAST ASIA & PACIFIC,EAS,4.054624196,35.31507414,2016
EAST ASIA & PACIFIC (EXCLUDING HIGH INCOME),EAP,4.104218632,37.91758105,2016
