iso_code,location,health_year,physician,Domestic_Health_Exp_GDP,Domestic_Health_Exp_Pcapita,Curr_Health_Exp_GDP,Curr_Health_Exp_Pcapita,Hospital_Beds
ABW,ARUBA,2018,,,,,,
AFE,AFRICA EASTERN AND SOUTHERN,2018,,2.66,41.73,5.93,94.24,
AFG,AFGHANISTAN,2018,,0.49,2.58,9.40,49.84,
AFW,AFRICA WESTERN AND CENTRAL,2018,,0.84,13.67,4.00,67.38,
AGO,ANGOLA,2018,,1.07,36.74,2.55,87.62,
ALB,ALBANIA,2018,,2.84,148.44,5.26,274.91,
AND,ANDORRA,2018,,4.56,1916.98,6.71,2821.80,
ARB,ARAB WORLD,2018,,2.99,223.53,5.23,392.57,
ARE,UNITED ARAB EMIRATES,2018,2.53,2.18,937.36,4.23,1817.35,
ARG,ARGENTINA,2018,,5.91,692.62,9.62,1127.91,
ARM,ARMENIA,2018,,1.24,52.11,10.03,422.28,
ASM,AMERICAN SAMOA,2018,,,,,,
ATG,ANTIGUA AND BARBUDA,2018,,2.90,485.82,5.23,875.17,
AUS,AUSTRALIA,2018,,6.41,3747.03,9.28,5425.34,
AUT,AUSTRIA,2018,,7.55,3892.83,10.33,5326.44,7.27
AZE,AZERBAIJAN,2018,,0.93,43.97,3.51,165.77,
BDI,BURUNDI,2018,,1.90,5.90,7.74,24.03,
BEL,BELGIUM,2018,,7.82,3723.07,10.32,4912.70,5.62
BEN,BENIN,2018,0.08,0.49,6.09,2.49,30.94,
BFA,BURKINA FASO,2018,,2.39,17.11,5.63,40.25,
BGD,BANGLADESH,2018,0.58,0.40,7.12,2.34,41.91,
BGR,BULGARIA,2018,,4.23,397.64,7.35,689.91,
BHR,BAHRAIN,2018,,2.43,584.90,4.13,994.18,
BHS,"BAHAMAS, THE",2018,,3.14,1011.08,6.25,2013.38,
BIH,BOSNIA AND HERZEGOVINA,2018,,6.21,376.87,8.90,539.55,
BLR,BELARUS,2018,,3.97,250.84,5.64,356.25,
BLZ,BELIZE,2018,,3.90,196.18,5.69,285.99,
BMU,BERMUDA,2018,,,,,,
BOL,BOLIVIA,2018,,4.48,159.13,6.30,223.60,
BRA,BRAZIL,2018,2.16,3.96,353.54,9.51,848.39,
BRB,BARBADOS,2018,,2.94,521.43,6.56,1164.54,
BRN,BRUNEI DARUSSALAM,2018,,2.30,726.07,2.41,763.15,
BTN,BHUTAN,2018,0.42,2.43,81.73,3.06,102.74,
BWA,BOTSWANA,2018,,4.53,374.18,5.85,482.96,
CAF,CENTRAL AFRICAN REPUBLIC,2018,,0.69,3.36,10.99,53.66,
CAN,CANADA,2018,,7.93,3670.84,10.79,4994.90,2.55
CEB,CENTRAL EUROPE AND THE BALTICS,2018,,4.90,781.28,6.61,1054.65,6.42
CHE,SWITZERLAND,2018,,3.71,3081.70,11.88,9870.66,4.63
CHI,CHANNEL ISLANDS,2018,,,,,,
CHL,CHILE,2018,2.59,4.65,740.01,9.14,1455.61,2.06
CHN,CHINA,2018,,3.02,282.68,5.35,501.06,
CIV,COTE D'IVOIRE,2018,,1.21,20.71,4.19,71.88,
CMR,CAMEROON,2018,,0.21,3.23,3.53,54.14,
COD,"CONGO, DEM. REP.",2018,,0.50,2.79,3.30,18.51,
COG,"CONGO, REP.",2018,,0.79,17.46,2.14,47.52,
COL,COLOMBIA,2018,2.18,5.47,367.50,7.64,513.16,1.71
COM,COMOROS,2018,,0.42,6.04,4.59,65.23,
CPV,CABO VERDE,2018,,3.22,117.23,5.36,194.86,
CRI,COSTA RICA,2018,2.89,5.48,658.55,7.56,909.67,1.11
CSS,CARIBBEAN SMALL STATES,2018,,3.49,339.32,6.37,621.24,
CUB,CUBA,2018,8.42,9.95,877.44,11.19,986.94,
CUW,CURACAO,2018,,,,,,
CYM,CAYMAN ISLANDS,2018,,,,,,
CYP,CYPRUS,2018,,2.90,836.52,6.77,1954.41,
CZE,CZECH REPUBLIC,2018,4.12,6.32,1460.21,7.65,1765.59,6.62
DEU,GERMANY,2018,,8.88,4251.03,11.43,5472.20,
DJI,DJIBOUTI,2018,,1.15,35.12,2.32,70.86,
