location,iso_code,Unemployment_percent,Vulnerable_employ_percent,unemploy_year
AFGHANISTAN,AFG,8.84,66.00,2016
ALBANIA,ALB,15.22,57.00,2016
ALGERIA,DZA,10.20,27.83,2016
AMERICAN SAMOA,ASM,,,2016
ANDORRA,AND,,,2016
ANGOLA,AGO,7.72,66.55,2016
ANTIGUA AND BARBUDA,ATG,,,2016
ARAB WORLD,ARB,10.02,26.32,2016
ARGENTINA,ARG,8.70,21.11,2016
ARMENIA,ARM,18.04,40.33,2016
ARUBA,ABW,,,2016
AUSTRALIA,AUS,5.72,10.89,2016
AUSTRIA,AUT,6.01,8.19,2016
AZERBAIJAN,AZE,5.00,55.07,2016
"BAHAMAS, THE",BHS,12.70,14.51,2016
BAHRAIN,BHR,1.22,1.82,2016
BANGLADESH,BGD,4.35,57.65,2016
BARBADOS,BRB,9.72,15.93,2016
BELARUS,BLR,0.49,2.55,2016
BELGIUM,BEL,7.83,10.71,2016
BELIZE,BLZ,7.91,26.27,2016
BENIN,BEN,2.54,87.85,2016
BERMUDA,BMU,,,2016
BHUTAN,BTN,2.44,71.39,2016
BOLIVIA,BOL,3.06,31.30,2016
BOSNIA AND HERZEGOVINA,BIH,25.06,20.86,2016
BOTSWANA,BWA,17.12,14.98,2016
BRAZIL,BRA,11.61,27.49,2016
BRITISH VIRGIN ISLANDS,VGB,,,2016
BRUNEI DARUSSALAM,BRN,6.93,5.14,2016
BULGARIA,BGR,7.57,8.20,2016
BURKINA FASO,BFA,6.39,87.24,2016
BURUNDI,BDI,1.59,92.35,2016
CABO VERDE,CPV,10.32,37.64,2016
CAMBODIA,KHM,0.20,51.13,2016
CAMEROON,CMR,4.26,71.64,2016
CANADA,CAN,7.00,10.74,2016
CAYMAN ISLANDS,CYM,,,2016
CENTRAL AFRICAN REPUBLIC,CAF,6.16,67.35,2016
CHAD,TCD,5.78,91.50,2016
CHANNEL ISLANDS,CHI,9.38,10.00,2016
CHILE,CHL,6.74,23.75,2016
CHINA,CHN,4.65,33.02,2016
COLOMBIA,COL,8.35,47.07,2016
COMOROS,COM,4.35,63.87,2016
"CONGO, DEM. REP.",COD,3.69,53.53,2016
"CONGO, REP.",COG,10.42,74.89,2016
COSTA RICA,CRI,8.98,14.01,2016
COTE D'IVOIRE,CIV,2.60,73.36,2016
CROATIA,HRV,13.10,8.73,2016
CUBA,CUB,2.49,10.25,2016
CURACAO,CUW,,,2016
CYPRUS,CYP,12.95,12.59,2016
CZECH REPUBLIC,CZE,3.95,14.03,2016
DENMARK,DNK,6.18,5.65,2016
DJIBOUTI,DJI,5.84,39.19,2016
DOMINICA,DMA,,,2016
DOMINICAN REPUBLIC,DOM,5.49,41.13,2016
EAST ASIA & PACIFIC,EAS,4.05,35.32,2016
EAST ASIA & PACIFIC (EXCLUDING HIGH INCOME),EAP,4.10,37.92,2016
ECUADOR,ECU,4.60,45.04,2016
"EGYPT, ARAB REP.",EGY,12.41,20.22,2016
EL SALVADOR,SLV,4.42,35.97,2016
EQUATORIAL GUINEA,GNQ,6.19,35.94,2016
ERITREA,ERI,6.45,46.37,2016
ESTONIA,EST,6.76,5.61,2016
ESWATINI,SWZ,26.35,19.11,2016
ETHIOPIA,ETH,5.09,88.17,2016
EURO AREA,EMU,10.01,10.53,2016
EUROPE & CENTRAL ASIA,ECS,8.07,14.19,2016
EUROPE & CENTRAL ASIA (EXCLUDING HIGH INCOME),ECA,7.51,18.01,2016
EUROPEAN UNION,EUU,8.53,11.71,2016
FAROE ISLANDS,FRO,,,2016
FIJI,FJI,6.24,38.31,2016
FINLAND,FIN,8.82,10.01,2016
FRANCE,FRA,10.06,7.61,2016
FRENCH POLYNESIA,PYF,20.99,13.33,2016
GABON,GAB,19.89,32.00,2016
"GAMBIA, THE",GMB,9.43,71.23,2016
GEORGIA,GEO,11.76,56.43,2016
GERMANY,DEU,4.12,6.01,2016
GHANA,GHA,2.26,66.14,2016
GIBRALTAR,GIB,,,2016
GREECE,GRC,23.54,26.73,2016
GREENLAND,GRL,,,2016
GRENADA,GRD,,,2016
GUAM,GUM,5.40,25.03,2016
GUATEMALA,GTM,2.83,34.57,2016
GUINEA,GIN,4.51,90.10,2016
